"Chasing Liberty","2004"
"My Baby's Daddy","2004"
"Along Came Polly","2004"
"Teacher's Pet","2004"
"Torque","2004"
"The Butterfly Effect","2004"
"Win a Date with Tad Hamilton!","2004"
"The Big Bounce","2004"
"The Perfect Score","2004"
"You Got Served","2004"
"Barbershop 2: Back in Business","2004"
"Catch That Kid","2004"
"Miracle","2004"
"Pinocchio 3000","2004"
"50 First Dates","2004"
"Against the Ropes","2004"
"Confessions of a Teenage Drama Queen","2004"
"EuroTrip","2004"
"Welcome to Mooseport","2004"
"The Passion of the Christ","2004"
"Club Dread","2004"
"Twisted","2004"
"Hidalgo","2004"
"Starsky & Hutch","2004"
"Agent Cody Banks 2: Destination London","2004"
"Secret Window","2004"
"Spartan","2004"
"Dawn of the Dead","2004"
"Eternal Sunshine of the Spotless Mind","2004"
"Taking Lives","2004"
"Jersey Girl","2004"
"The Ladykillers","2004"
"Never Die Alone","2004"
"Scooby-Doo 2: Monsters Unleashed","2004"
"Hellboy","2004"
"Home on the Range","2004"
"The Prince and Me","2004"
"Walking Tall","2004"
"Johnson Family Vacation","2004"
"The Whole Ten Yards","2004"
"The Alamo","2004"
"Ella Enchanted","2004"
"The Girl Next Door","2004"
"Shaun of the Dead","2004"
"Connie and Carla","2004"
"Kill Bill: Volume 2","2004"
"The Punisher","2004"
"13 Going on 30","2004"
"Clifford's Really Big Movie","2004"
"Man on Fire","2004"
"Bobby Jones: Stroke of Genius","2004"
"Envy","2004"
"Godsend","2004"
"Laws of Attraction","2004"
"Mean Girls","2004"
"New York Minute","2004"
"Off the Lip","2004"
"Super Size Me","2004"
"Van Helsing","2004"
"Breakin' All the Rules","2004"
"Carandiru","2004"
"Coffee and Cigarettes","2004"
"A Slipping-Down Life","2004"
"Troy","2004"
"Shrek 2","2004"
"Stateside","2004"
"The Day After Tomorrow","2004"
"Love Me If You Dare","2004"
"Raising Helen","2004"
"Soul Plane","2004"
"Harry Potter and the Prisoner of Azkaban","2004"
"The Chronicles of Riddick","2004"
"Garfield: The Movie","2004"
"Napoleon Dynamite","2004"
"The Stepford Wives","2004"
"Around the World in 80 Days","2004"
"DodgeBall: A True Underdog Story","2004"
"The Terminal","2004"
"White Chicks","2004"
"Fahrenheit 9/11","2004"
"The Notebook","2004"
"Two Brothers","2004"
"Spider-Man 2","2004"
"Before Sunset","2004"
"King Arthur","2004"
"Anchorman: The Legend of Ron Burgundy","2004"
"Sleepover","2004"
"House of Flying Daggers","2004"
"A Cinderella Story","2004"
"I, Robot","2004"
"Asambhav","2004"
"The Bourne Supremacy","2004"
"Catwoman","2004"
"A Home at the End of the World","2004"
"Thunderbirds","2004"
"Garden State","2004"
"Harold & Kumar Go to White Castle","2004"
